T01001	hsa	Homo sapiens (human)	Eukaryotes;Animals;Vertebrates;Mammals
T01974	pnc	Pseudomonas aeruginosa NCGM2.S1	Prokaryotes;Bacteria;Gammaproteobacteria - Others;Pseudomonas
T03789	paeb	Pseudomonas aeruginosa NCGM 1900	Prokaryotes;Bacteria;Gammaproteobacteria - Others;Pseudomonas
T02161	pdk	Pseudomonas aeruginosa DK2	Prokaryotes;Bacteria;Gammaproteobacteria - Others;Pseudomonas
T02627	psg	Pseudomonas aeruginosa B136-33	Prokaryotes;Bacteria;Gammaproteobacteria - Others;Pseudomonas
T02711	prp	Pseudomonas aeruginosa RP73	Prokaryotes;Bacteria;Gammaproteobacteria - Others;Pseudomonas
T02928	paep	Pseudomonas aeruginosa PA1	Prokaryotes;Bacteria;Gammaproteobacteria - Others;Pseudomonas
T02929	paer	Pseudomonas aeruginosa PA1R	Prokaryotes;Bacteria;Gammaproteobacteria - Others;Pseudomonas
T02951	paem	Pseudomonas aeruginosa MTB-1	Prokaryotes;Bacteria;Gammaproteobacteria - Others;Pseudomonas
T02970	pael	Pseudomonas aeruginosa LES431	Prokaryotes;Bacteria;Gammaproteobacteria - Others;Pseudomonas
T02971	paes	Pseudomonas aeruginosa SCV20265	Prokaryotes;Bacteria;Gammaproteobacteria - Others;Pseudomonas
T03031	paeu	Pseudomonas aeruginosa PA38182	Prokaryotes;Bacteria;Gammaproteobacteria - Others;Pseudomonas
T03035	paeg	Pseudomonas aeruginosa YL84	Prokaryotes;Bacteria;Gammaproteobacteria - Others;Pseudomonas
T03098	paec	Pseudomonas aeruginosa c7447m	Prokaryotes;Bacteria;Gammaproteobacteria - Others;Pseudomonas
T03171	paeo	Pseudomonas aeruginosa PAO581	Prokaryotes;Bacteria;Gammaproteobacteria - Others;Pseudomonas
T00016	tpa	Treponema pallidum subsp. pallidum Nichols	Prokaryotes;Bacteria;Spirochaetes;Treponema
T02709	tpw	Treponema pallidum subsp. pallidum Nichols	Prokaryotes;Bacteria;Spirochaetes;Treponema
T00716	tpp	Treponema pallidum subsp. pallidum SS14	Prokaryotes;Bacteria;Spirochaetes;Treponema
T01748	tpu	Treponema pallidum subsp. pallidum DAL-1	Prokaryotes;Bacteria;Spirochaetes;Treponema
T01868	tph	Treponema pallidum subsp. pallidum Chicago	Prokaryotes;Bacteria;Spirochaetes;Treponema
T02273	tpo	Treponema pallidum subsp. pallidum Mexico A	Prokaryotes;Bacteria;Spirochaetes;Treponema
T03185	tpas	Treponema pallidum subsp. pallidum Sea 81-4	Prokaryotes;Bacteria;Spirochaetes;Treponema
T01749	tpc	Treponema pallidum subsp. pertenue CDC2	Prokaryotes;Bacteria;Spirochaetes;Treponema
T01750	tpg	Treponema pallidum subsp. pertenue Gauthier	Prokaryotes;Bacteria;Spirochaetes;Treponema
T01751	tpm	Treponema pallidum subsp. pertenue SamoaD	Prokaryotes;Bacteria;Spirochaetes;Treponema
T02651	tpb	Treponema pallidum Fribourg-Blanc	Prokaryotes;Bacteria;Spirochaetes;Treponema
T00237	ngo	Neisseria gonorrhoeae FA 1090	Prokaryotes;Bacteria;Betaproteobacteria;Neisseria
T00728	ngk	Neisseria gonorrhoeae NCCP11945	Prokaryotes;Bacteria;Betaproteobacteria;Neisseria
